=================================================================
DATABASE SCHEMAS FOR INCOMPLETE PROJECTS & EXTRACTS
=================================================================

-----------------------------------------------------------------
TABLE: projects
-----------------------------------------------------------------
ColumnName | DataType | MaxLen | IsNullable | DefaultValue
AccountUnderImp | nvarchar | 55 | YES | 
UnderImp | int |  | YES | 
OpenBalance5 | float |  | YES | 
OpenBalanceType5 | int |  | YES | 
TotalMainDes | float |  | YES | 
TypeImport | int |  | YES | 
Path | nvarchar | 4000 | YES | 
TotalMainDesExe | float |  | YES | 
UnderAccountBalance | float |  | YES | 
AcountGood | nvarchar | 55 | YES | 
OpenBalance6 | float |  | YES | 
OpenBalanceType6 | int |  | YES | 
OpenBalance8 | float |  | YES | 
OpenBalanceType8 | int |  | YES | 
Insurance | float |  | YES | 
NoteSerial | nvarchar | 255 | YES | 
NoteId | int |  | YES | 

-----------------------------------------------------------------
TABLE: project_billl
