object_type|schema_name|object_name
SQL_TABLE_VALUED_FUNCTION|dbo|QryItemTransactions
SQL_TABLE_VALUED_FUNCTION|dbo|QryLastItemsPurPrice
SQL_TABLE_VALUED_FUNCTION|dbo|QryLastItemsPurPrice
SQL_TABLE_VALUED_FUNCTION|dbo|QryLastPurItemsTrans
SQL_TABLE_VALUED_FUNCTION|dbo|QryLastPurItemsTrans
SQL_TABLE_VALUED_FUNCTION|dbo|QryQuantity
SQL_TABLE_VALUED_FUNCTION|dbo|QryQuantity
SQL_TABLE_VALUED_FUNCTION|dbo|QryRequestItems
SQL_TABLE_VALUED_FUNCTION|dbo|QryRequestItems
SQL_TABLE_VALUED_FUNCTION|dbo|QryTotal
SQL_TABLE_VALUED_FUNCTION|dbo|QryTotal
SQL_TABLE_VALUED_FUNCTION|dbo|QryTransactionsTotal
SQL_TABLE_VALUED_FUNCTION|dbo|QryTransactionsTotal
SQL_TABLE_VALUED_FUNCTION|dbo|QryTransactionsTotal333
SQL_TABLE_VALUED_FUNCTION|dbo|QryTransactionsTotal333
SQL_TABLE_VALUED_FUNCTION|dbo|QryTransactionsTotalByCusID
SQL_TABLE_VALUED_FUNCTION|dbo|QryTransactionsTotalByCusID
SQL_TABLE_VALUED_FUNCTION|dbo|SearchSerialData
SQL_TABLE_VALUED_FUNCTION|dbo|SearchSerialData
VIEW|dbo|adox
VIEW|dbo|adox
VIEW|dbo|adox
VIEW|dbo|adox
VIEW|dbo|CahingReport
VIEW|dbo|CahingReport
VIEW|dbo|credit
VIEW|dbo|credit
VIEW|dbo|Cus_Cash
VIEW|dbo|Cus_DelayVal_To
VIEW|dbo|Cus_DelayVal_To
VIEW|dbo|Cus_PayTo
VIEW|dbo|CusAccount
VIEW|dbo|CusAccount
VIEW|dbo|DestructioItems
VIEW|dbo|DestructioItems
VIEW|dbo|DestructioItemsNew
VIEW|dbo|DestructioItemsNew
VIEW|dbo|double_entry_voucher_with_name
VIEW|dbo|Esat2
VIEW|dbo|Esat2
VIEW|dbo|Expanses_Order
VIEW|dbo|EXPENSES_ORDER2
VIEW|dbo|ExpensesReport
VIEW|dbo|GardByUnits
VIEW|dbo|GardByUnits
VIEW|dbo|GL_CC
VIEW|dbo|GL_CC
VIEW|dbo|gl_cc_new
VIEW|dbo|gl_cc_new
VIEW|dbo|Items_Status1
VIEW|dbo|Items_Status1
VIEW|dbo|Items_Status2
VIEW|dbo|Items_Status2
VIEW|dbo|ItemsTrans
VIEW|dbo|ItemsTrans
VIEW|dbo|NetRemCus
VIEW|dbo|NetRemSalesMan
VIEW|dbo|NOTES_TRANSACTIONS
VIEW|dbo|NOTES_TRANSACTIONS
VIEW|dbo|opr_qty_total
VIEW|dbo|opr_qty_total
VIEW|dbo|Order_no_details
VIEW|dbo|Orders Not Yet Shipped
VIEW|dbo|payment_voucher
VIEW|dbo|PaymentsReport
VIEW|dbo|PaymentsReport
VIEW|dbo|PaymentTime
VIEW|dbo|PaymentTime
VIEW|dbo|QestNotReceipted_Total
VIEW|dbo|QestNotReceipted_Total
VIEW|dbo|QryAllowsDiscounts
VIEW|dbo|QryAllowsDiscounts
VIEW|dbo|QryBalanceOpening
VIEW|dbo|QryBalanceOpening
VIEW|dbo|QryBalenceRepeat
VIEW|dbo|QryBalenceRepeat
VIEW|dbo|QryBarcode
VIEW|dbo|QryBarcode
VIEW|dbo|QryBoxReports
VIEW|dbo|QryBuyReport
VIEW|dbo|QryBuyReport
VIEW|dbo|QryBuyReportShort
VIEW|dbo|QryBuyReportShort
VIEW|dbo|QryCheckRelease
VIEW|dbo|QryChecksReports
VIEW|dbo|QryChecksReports
VIEW|dbo|QryCust_Qest
VIEW|dbo|QryCust_Qest
VIEW|dbo|QryDebitTransactionsValues
VIEW|dbo|QryDebitTransactionsValues
VIEW|dbo|QryDelPurchase
VIEW|dbo|QryDelPurchase
VIEW|dbo|QryDevReport
VIEW|dbo|QryDevReport
VIEW|dbo|QryDevReport
VIEW|dbo|QryExpensesReport
VIEW|dbo|QryGardByDates
VIEW|dbo|QryGardByDates
VIEW|dbo|QryGardReport
VIEW|dbo|QryGardReport
VIEW|dbo|QryGardSearch
VIEW|dbo|QryGardSearch
VIEW|dbo|QryGardWithOrderNo
VIEW|dbo|QryGardWithOrderNo
VIEW|dbo|QryGuarantee
VIEW|dbo|QryGuarantee
VIEW|dbo|QryGuaranteeAlram
VIEW|dbo|QryGuaranteeAlram
VIEW|dbo|QryInst
VIEW|dbo|QryInst
VIEW|dbo|QryItemCartOld
VIEW|dbo|QryItemCartOld
VIEW|dbo|QryItemsProfit
VIEW|dbo|QryItemsProfit
VIEW|dbo|QryMaintananceReport
VIEW|dbo|QryMovingItems
VIEW|dbo|QryMovingItemsReport
VIEW|dbo|QryMovingItemsReport
VIEW|dbo|QryNotesBoxes
VIEW|dbo|QryNotesBoxes
VIEW|dbo|QryOpenBalanceSearch
VIEW|dbo|QryOpenBalanceSearch
VIEW|dbo|QRyOrdersData
VIEW|dbo|QRYORDERSQTY
VIEW|dbo|QRYORDERSQTY
VIEW|dbo|QryOutOrders
VIEW|dbo|QryOutOrders
VIEW|dbo|QryOutOrderTotal
VIEW|dbo|QryOutOrderTotal
VIEW|dbo|QryPostedTransNotes
VIEW|dbo|QryPostFullTransactionsNotes
VIEW|dbo|QryReceiptParts
VIEW|dbo|QryReceiptParts
VIEW|dbo|QryReleasedTransactions
VIEW|dbo|QryReleasedTransactions
VIEW|dbo|QryRepeatSalling
VIEW|dbo|QryRepeatSalling
VIEW|dbo|QRYResevedOrderQty
VIEW|dbo|QRYResevedOrderQty
VIEW|dbo|QryReturn
VIEW|dbo|QryReturn
VIEW|dbo|QryReturnSalling
VIEW|dbo|QryReturnSalling
VIEW|dbo|QrySalesProfit
VIEW|dbo|QrySalesProfit
VIEW|dbo|QryTransactionaBoxes
VIEW|dbo|QryTransactionaBoxes
VIEW|dbo|QRyTransSearch
VIEW|dbo|ReceiptQestForBill
VIEW|dbo|ReplacedItems
VIEW|dbo|ReplacedItems
VIEW|dbo|ReportBuyItems
VIEW|dbo|ReportBuyItems
VIEW|dbo|ReportBuyTime_Client
VIEW|dbo|ReportSallingItems
VIEW|dbo|ReportSallingItems
VIEW|dbo|ReportSallingTax
VIEW|dbo|ReportSallingTime
VIEW|dbo|RetAsset
VIEW|dbo|RptLedger_Sub
VIEW|dbo|RptLedger_Sub
VIEW|dbo|RptLedger_Sub
VIEW|dbo|RptLedger_Sub2
VIEW|dbo|RptLedger_Sub2
VIEW|dbo|RptLedger_Sub2
VIEW|dbo|SearchSerialDat_B
VIEW|dbo|SearchSerialDat_B
VIEW|dbo|SearchSerialData_T
VIEW|dbo|SearchSerialData_T
VIEW|dbo|SumCheck
VIEW|dbo|SumCheck
VIEW|dbo|TotalCost
VIEW|dbo|TotalCost
VIEW|dbo|View_TotalsIq
VIEW|dbo|View_Waiver
VIEW|dbo|VIEW1
VIEW|dbo|VIEW11
VIEW|dbo|VIEW11
VIEW|dbo|VIEW4
VIEW|dbo|VIEW4
VIEW|dbo|VIEW5
VIEW|dbo|VIEW5
VIEW|dbo|VIEW9
VIEW|dbo|ViewEmpComm1
VIEW|dbo|voucher_all
VIEW|dbo|voucher_all
VIEW|dbo|VVX
VIEW|dbo|VVX
VIEW|dbo|Vw_Notes
VIEW|dbo|Vw_Notes
