"DatabaseName","FKName","ParentSchema","ParentTable","ParentColumn","ReferencedSchema","ReferencedTable","ReferencedColumn","delete_referential_action_desc","update_referential_action_desc","constraint_column_id"
"Adnan","FK_TblEmpAllocationsDetails_TblEmpAllocations","dbo","TblEmpAllocationsDetails","EmpAllocationsid","dbo","TblEmpAllocations","EmpAllocationsid","CASCADE","CASCADE","1"
"Adnan","FK_TblEmpAllocationsDetails_TblEmployee","dbo","TblEmpAllocationsDetails","Emp_id","dbo","TblEmployee","Emp_ID","CASCADE","CASCADE","1"
"Adnan","FK_TblEmpDetails_TblEmployee","dbo","TblEmpDetails","Emp_ID","dbo","TblEmployee","Emp_ID","CASCADE","CASCADE","1"
"Adnan","FK_TblEmpHolidaysDetails_TblEmployee","dbo","TblEmpHolidaysDetails","Emp_ID","dbo","TblEmployee","Emp_ID","CASCADE","CASCADE","1"
"Adnan","FK_TblEmployee_jopstatus1","dbo","TblEmployee","jopstatusid","dbo","jopstatus","id","NO_ACTION","NO_ACTION","1"
"Adnan","FK_TblEmployee_TblEmpDepartments","dbo","TblEmployee","DepartmentID","dbo","TblEmpDepartments","DeparmentID","NO_ACTION","CASCADE","1"
"Adnan","FK_TblEmployee_TblEmpJobsTypes","dbo","TblEmployee","JobTypeID","dbo","TblEmpJobsTypes","JobTypeID","NO_ACTION","CASCADE","1"
"Adnan","FK_TblEmployee_TblEmpSpecifications","dbo","TblEmployee","SpecificationID","dbo","TblEmpSpecifications","SpecificationID","NO_ACTION","CASCADE","1"
"Adnan","FK_TblEstiationBudgetDetails_TblEstiation","dbo","TblEstiationBudgetDetails","transID","dbo","TblEstiation","transID","CASCADE","CASCADE","1"
"Adnan","FK_TblEstiationDetails_TblEstiation","dbo","TblEstiationDetails","transID","dbo","TblEstiation","transID","CASCADE","CASCADE","1"
"Adnan","FK_TblEstiationYaersDetails_TblEstiation","dbo","TblEstiationYaersDetails","transID","dbo","TblEstiation","transID","CASCADE","CASCADE","1"
"Adnan","FK_tblGeneralCashing1Details_tblGeneralCashing1","dbo","tblGeneralCashing1Details","tblGeneralCashing1Id","dbo","tblGeneralCashing1","id","CASCADE","CASCADE","1"
"Adnan","FK_tblGeneralCashingDetails_tblGeneralCashing","dbo","tblGeneralCashingDetails","tblGeneralCashingId","dbo","tblGeneralCashing","id","CASCADE","CASCADE","1"
"Adnan","FK_TblItems_Groups","dbo","TblItems","GroupID","dbo","Groups","GroupID","NO_ACTION","CASCADE","1"
"Adnan","FK_TblItemsPrices_TblItems","dbo","TblItemsPrices","ItemID","dbo","TblItems","ItemID","CASCADE","CASCADE","1"
"Adnan","FK_tblJunkAbsent_tblAbsent","dbo","tblJunkAbsent","Abs_ID","dbo","tblAbsent","Abs_ID","CASCADE","CASCADE","1"
"Adnan","FK_TbllevelWorker_TbLLevels","dbo","TbllevelWorker","LevelID","dbo","TbLLevels","LevelID","CASCADE","CASCADE","1"
"Adnan","FK_TbllProductionPlanDetails_TblItems","dbo","TbllProductionPlanDetails","ItemID","dbo","TblItems","ItemID","CASCADE","CASCADE","1"
"Adnan","FK_TbllProductionPlanDetails_TbllProductionPlan","dbo","TbllProductionPlanDetails","TbllProductionPlanD","dbo","TbllProductionPlan","TbllProductionPlanD","CASCADE","CASCADE","1"
"Adnan","FK_TbllProductionPlanDetailsGroups_Groups","dbo","TbllProductionPlanDetailsGroups","GroupID","dbo","Groups","GroupID","CASCADE","CASCADE","1"
"Adnan","FK_TbllProductionPlanDetailsGroups_TbllProductionPlan","dbo","TbllProductionPlanDetailsGroups","TbllProductionPlanD","dbo","TbllProductionPlan","TbllProductionPlanD","CASCADE","CASCADE","1"
"Adnan","FK_TblMaintenece_MaintenanceType","dbo","TblMaintenece","MType","dbo","MaintenanceType","TypeID","NO_ACTION","NO_ACTION","1"
"Adnan","FK_TblMainteneceDetails_TblMaintenece","dbo","TblMainteneceDetails","MaintananceID","dbo","TblMaintenece","MaintananceID","CASCADE","CASCADE","1"
"Adnan","FK_TblMainteneceNew_TblManOperations","dbo","TblMainteneceNew","ManOperationTypeID","dbo","TblManOperations","ManOperationTypeID","NO_ACTION","CASCADE","1"
"Adnan","FK_TblMainteneceNew_TblManSupDecs","dbo","TblMainteneceNew","SupDeci","dbo","TblManSupDecs","SupDecID","NO_ACTION","CASCADE","1"
"Adnan","FK_TblManDetailsReplacedItems_TblMainteneceDetails","dbo","TblManDetailsReplacedItems","ManDetID","dbo","TblMainteneceDetails","TableID","CASCADE","CASCADE","1"
"Adnan","FK_TblMessageDefDES_TblMessageDef","dbo","TblMessageDefDES","lMessageDefID","dbo","TblMessageDef","id","CASCADE","CASCADE","1"
"Adnan","FK_TblProcessDEFDetails_TblProcessDEF","dbo","TblProcessDEFDetails","TblProcessDEFID","dbo","TblProcessDEF","TblProcessDEFID","CASCADE","CASCADE","1"
"Adnan","FK_TblProductLineEquipments_TblProductLine","dbo","TblProductLineEquipments","LineID","dbo","TblProductLine","id","CASCADE","CASCADE","1"
"Adnan","FK_TblProductLineWorker_TblProductLine","dbo","TblProductLineWorker","LineID","dbo","TblProductLine","id","CASCADE","CASCADE","1"
"Adnan","FK_TblProductOrderFactoryExpenses_Transactions","dbo","TblProductOrderFactoryExpenses","Transaction_ID","dbo","Transactions","Transaction_ID","CASCADE","CASCADE","1"
"Adnan","FK_TblProductOrderLines_Transactions","dbo","TblProductOrderLines","Transaction_ID","dbo","Transactions","Transaction_ID","CASCADE","CASCADE","1"
"Adnan","FK_TblProductOrderWorker_Transactions","dbo","TblProductOrderWorker","Transaction_ID","dbo","Transactions","Transaction_ID","CASCADE","CASCADE","1"
"Adnan","FK_TblSalesAndCollectionPlanDetails_TblSalesAndCollectionPlan","dbo","TblSalesAndCollectionPlanDetails","TblSalesAndCollectionPlanId","dbo","TblSalesAndCollectionPlan","TblSalesAndCollectionPlanId","CASCADE","CASCADE","1"
"Adnan","FK_TblSalesPrices_TblItems","dbo","TblSalesPrices","ItemID","dbo","TblItems","ItemID","CASCADE","CASCADE","1"
"Adnan","FK_TblSalesPricesPlanDetails_TblBranchesData","dbo","TblSalesPricesPlanDetails","branch_id","dbo","TblBranchesData","branch_id","CASCADE","CASCADE","1"
"Adnan","FK_TblSalesPricesPlanDetails_TblItems","dbo","TblSalesPricesPlanDetails","ItemID","dbo","TblItems","ItemID","CASCADE","CASCADE","1"
"Adnan","FK_TblSalesPricesPlanDetails_TblSalesPricesPlan","dbo","TblSalesPricesPlanDetails","PlanId","dbo","TblSalesPricesPlan","PlanId","CASCADE","CASCADE","1"
"Adnan","FK_TblSalesPricesPlanDetails2_TblItems","dbo","TblSalesPricesPlanDetails2","ItemID","dbo","TblItems","ItemID","CASCADE","CASCADE","1"
"Adnan","FK_TblSalesPricesPlanDetails2_TblSalesPricesPlan","dbo","TblSalesPricesPlanDetails2","PlanId","dbo","TblSalesPricesPlan","PlanId","CASCADE","CASCADE","1"
"Adnan","FK_TblSalesRepCommDetails_TblSalesRepComm","dbo","TblSalesRepCommDetails","TblSalesRepCommId","dbo","TblSalesRepComm","id","CASCADE","CASCADE","1"
