"TableName","ColumnName","DataType"
"TblBillBuyPayment","NoteID","int"
"TblBillBuyPayment","Note_Value","float"
"TblBillBuyPayment2","NoteID","int"
"TblBillBuyPayment2","Note_Value","float"
"TblBillComputerChek","NoteSerial","nvarchar"
"TblBillComputerChek","NoteSerial1","nvarchar"
"TblBillComputerChek","NoteID","int"
"TblBillProjectPayment","NoteID","int"
"TblBillProjectPayment","Note_Value","float"
"TblBillVindorPayment","NoteID","int"
"TblBillVindorPayment","NoteSerial1","float"
"TblBillVindorPayment","Note_Value","float"
"TblBookingRequest","NoteSerial1","float"
"tblbookingrequest2","NoteSerial","nvarchar"
"tblbookingrequest2","NoteID","int"
"tblbookingrequest2","NoteSerial1","float"
"tblbookingrequest2","NoteSerialOrder","float"
"TblBuyBilllInvestment","NoteSerial","nvarchar"
"TblBuyBilllInvestment","NoteID","int"
"TblBuyLanReEst","NoteSerial","nvarchar"
"TblBuyLanReEst","NoteID","int"
"TblCaptinTrans","NoteSerial","nvarchar"
"TblCaptinTrans","NoteSerial1","nvarchar"
"TblCaptinTrans","NoteID","int"
"TblCarBillMentains","Noteinitial","nvarchar"
"TblCarBillMentains","NoteSerial","nvarchar"
"TblCarBillMentains","NoteSerial1","nvarchar"
"TblCarBillMentains","NoteID","int"
"TblCardAuthorizationReform","Noteinitial","nvarchar"
"TblCardAuthorizationReform","NoteSerial","nvarchar"
"TblCardAuthorizationReformDetails","allocation","bit"
"tblCarMaint","NoteID","int"
"TblCarsData","Notes","nvarchar"
"TblCarsData","ContractID","int"
"TblCarsData","EndContractDate","datetime"
"TblCarsData","EndContractDateH","nvarchar"
"TblCarsData","EndAllocationDate","datetime"
"TblCheckRelease","NoteID","int"
"TblCheckRelease","NoteValue","money"
"TblChecqueBoxContent","NoteID","int"
"TblChecqueBoxContent1","NoteID","int"
"TblChecqueBoxContent1","notes_all","nvarchar"
"TBLClosePos","NoteSerial1","int"
"TBLClosePos","NoteSerial","int"
"TBLClosePos","NoteID","int"
"TBLClosePosTmp","NoteSerial1","int"
"TBLClosePosTmp","NoteSerial","int"
"TBLClosePosTmp","NoteID","int"
"TblCommisRece","NoteID","int"
"TblCommisRece","NoteSerial","nvarchar"
"TblCommisRece","NoteSerial1","nvarchar"
"TblCommisRece","OldNoteSerial1","nvarchar"
"TblCompanyContractDet","CompContID","int"
"TblComparPriceDet","NoteSerial1","nvarchar"
"TblConfirmViolation","MinistryContractID","int"
"TblConfirmViolation","MinistryContractValue","float"
"TblContract","ContNo","float"
"TblContract","ContType","int"
"TblContract","ContDate","datetime"
"TblContract","TotalContract","float"
"TblContract","FirstInstallDateH","nvarchar"
"TblContract","NoteID","int"
"TblContract","NoteSerial","nvarchar"
"TblContract","NoteSerial1","nvarchar"
"TblContract","OutContract","int"
"TblContract","ContNoOld","int"
"TblContract","EndContract","bit"
"TblContract","Employeecontract","bit"
"TblContract","Emp_IDContract","int"
"TblContract","NoteSrial1","nvarchar"
"TblContract","FlagContrNew2","bit"
"TblContract","ContID","int"
"TblContract","Contract_period_no","int"
"TblContract","Contract_period","int"
"TblContract","ContractReVouchID","int"
"TBLContractAuto","Contract_ID","int"
