
TableName                         column_id ColumnName                         TypeName        
Notes                                   356 TradingContractID                  int             
Notes                                   357 BillTransID                        int             
Notes                                   358 BillTransNo                        nvarchar        
Notes                                   359 BillMaintID                        int             
Notes                                   360 BillMaintNo                        nvarchar        
Notes                                   361 Note_Value2                        float           
Notes                                   362 note_value_by_characters2          nvarchar        
Notes                                   363 ComResid                           int             
Notes                                   364 Note_ValueSales                    float           
Notes                                   365 DeparmentID                        int             
Notes                                   366 OfficeValue                        float           
Notes                                   367 RenterValue                        float           
Notes                                   368 ExpValue                           float           
Notes                                   369 IqarID2                            int             
Notes                                   370 TotalInsurances                    float           
Notes                                   371 DebitSide                          nvarchar        
Notes                                   372 CreditSide                         nvarchar        
Notes                                   373 TotalPayedOpBalance                float           
Notes                                   374 TotalPayments                      float           
Notes                                   375 NetValue                           float           
Notes                                   376 PreBalaValue                       float           
Notes                                   377 PreBalaPayed                       float           
Notes                                   378 PreBalaRemain                      float           
Notes                                   379 PreBalaTransPyed                   float           
Notes                                   380 PreBalaNet                         float           
Notes                                   381 RemainWater                        float           
Notes                                   382 BillPrice                          float           
Notes                                   383 RemainCommissions                  float           
Notes                                   384 OldRent                            float           
Notes                                   385 RemainService                      float           
Notes                                   386 txtOldInsurance                    float           
Notes                                   387 FilterID2                          int             
Notes                                   388 ContainerNo                        int             
Notes                                   389 installIDCont                      float           
Notes                                   390 CCOPTion                           int             
Notes                                   391 OfficeValueNet                     float           
Notes                                   392 OfficeValueDiscAdd                 float           
Notes                                   393 AddValue                           int             
Notes                                   394 SessionCode                        nvarchar        
Notes                                   395 Ser                                int             
Notes                                   396 ContractReVouchID                  int             
Notes                                   397 CBoBasedON                         int             
Notes                                   398 OrDer_no2                          int             
Notes                                   399 QrCodeData                         nvarchar        
Notes                                   400 QrCodeDataPath                     nvarchar        
Notes                                   401 QrCodeImage                        image           
Notes                                   402 TableName                          nvarchar        
Notes                                   403 last_changed                       datetime        
Notes                                   404 ErrorMessageS                      nvarchar        
Notes                                   405 warrningmessage                    nvarchar        
Notes                                   406 RecTime                            datetime        
Notes                                   407 Currency_id                        int             
Notes                                   408 Currency_rate                      float           
Notes                                   409 zatcaStatus                        int             
Notes                                   410 DateRec                            datetime        
Notes                                   411 CIBAN                              nvarchar        
Notes                                   412 InvoiceTypeCodeID                  float           
Notes                                   413 InvoiceTypeCodename                nvarchar        
Notes                                   414 DocumentCurrencyCode               nvarchar        
Notes                                   415 TaxCurrencyCode                    nvarchar        
Notes                                   416 AdditionalDocumentReferencePIH     nvarchar        
Notes                                   417 InvoiceDocumentReferenceID         nvarchar        
Notes                                   418 AdditionalDocumentReferenceICVUUID nvarchar        
Notes                                   419 ActualDeliveryDate                 datetime        
Notes                                   420 LatestDeliveryDate                 datetime        
Notes                                   421 PaymentMeansCode                   float           
Notes                                   422 InstructionNote                    nvarchar        
Notes                                   423 Iban                               nvarchar        
Notes                                   424 paymentnote                        nvarchar        
Notes                                   425 Invoicetype                        int             
Notes                                   426 RowId                              uniqueidentifier
Notes                                   427 TblLCID                            int             
Notes                                   428 AcceptianPeriod                    float           
Notes                                   429 DateTimeEntry                      datetime        
Notes                                   430 FiterWaiver                        int             
Notes                                   431 FiterWaiverNoteSerial              nvarchar        
Notes                                   432 ContItem                           nvarchar        
Notes                                   433 PurchaseOrderNo                    nvarchar        
Notes                                   434 LocationName                       nvarchar        
Notes                                   435 RentType                           nvarchar        
Notes                                   436 IsHiddenInv                        bit             
Notes                                   437 IsExcelImportedUnapproved          bit             
Notes                                   438 ExcelImportApprovedDate            datetime        
Notes                                   439 ExcelImportApprovedUserID          int             
Notes                                   440 ExcelAccountIBan                   nvarchar        
TblAqar                                   1 Aqarid                             int             
TblAqar                                   2 aqarNo                             nvarchar        
TblAqar                                   3 aqartypeid                         int             
TblAqar                                   4 CountryID                          int             
TblAqar                                   5 cityid                             int             
TblAqar                                   6 heyid                              int             
TblAqar                                   7 floorcount                         int             
TblAqar                                   8 schemeid                           int             
TblAqar                                   9 interfaceid                        int             
TblAqar                                  10 StatusId                           int             
TblAqar                                  11 EntryCount                         int             
TblAqar                                  12 noofapartement                     int             
TblAqar                                  13 noofoffices                        int             
TblAqar                                  14 noofparking                        int             
TblAqar                                  15 maintenancetypeid                  int             
TblAqar                                  16 ownerid                            int             
TblAqar                                  17 aqarname                           nvarchar        
TblAqar                                  18 streetname                         nvarchar        
TblAqar                                  19 Location                           nvarchar        
TblAqar                                  20 aqarage                            float           
TblAqar                                  21 currentPrice                       float           
